"CubeId";"plimoinchq"
"PublishingDate";"2026-01-21 09:00"

"Date";"D0";"D1";"Value"
"1979-Q2";"EW";"AP";"56.51234326"
"1979-Q2";"EW";"TP";
"1979-Q2";"EH";"TP3";
"1979-Q2";"EH";"TP1";
"1979-Q2";"EH";"TP2";
"1979-Q2";"EH";"AP";"59.28634857"
"1979-Q2";"EH";"TP";
"1979-Q2";"MH";"TP1";
"1979-Q2";"MH";"TP2";
"1979-Q2";"MH";"TP";
"1979-Q2";"MW";"AP";"50.27751476"
"1979-Q2";"BF";"AP";"65.43018016"
"1979-Q2";"GF";"AP";"51.28734524"
"1979-Q2";"VF";"AP";
"1979-Q3";"EW";"TP3";
"1979-Q3";"EW";"TP1";
"1979-Q3";"EW";"TP2";
"1979-Q3";"EW";"AP";"59.09934512"
"1979-Q3";"EW";"TP";
"1979-Q3";"EH";"TP3";
"1979-Q3";"EH";"TP1";
"1979-Q3";"EH";"TP2";
"1979-Q3";"EH";"AP";"61.36250118"
"1979-Q3";"EH";"TP";
"1979-Q3";"MH";"TP1";
"1979-Q3";"MH";"TP2";
"1979-Q3";"MH";"TP";
"1979-Q3";"MW";"AP";"50.27570157"
"1979-Q3";"BF";"AP";"60.6934932"
"1979-Q3";"GF";"AP";"62.2982896"
"1979-Q3";"VF";"AP";
"1979-Q4";"EW";"TP3";
"1979-Q4";"EW";"TP1";
"1979-Q4";"EW";"TP2";
"1979-Q4";"EW";"AP";"61.63389828"
"1979-Q4";"EW";"TP";
"1979-Q4";"EH";"TP3";
"1979-Q4";"EH";"TP1";
"1979-Q4";"EH";"TP2";
"1979-Q4";"EH";"AP";"62.54262751"
"1979-Q4";"EH";"TP";
"1979-Q4";"MH";"TP1";
"1979-Q4";"MH";"TP2";
"1979-Q4";"MH";"TP";
"1979-Q4";"MW";"AP";"53.28073578"
"1979-Q4";"BF";"AP";"63.02906311"
"1979-Q4";"GF";"AP";"65.41855352"
"1979-Q4";"VF";"AP";
"1980-Q1";"EW";"TP3";
"1980-Q1";"EW";"TP1";
"1980-Q1";"EW";"TP2";
"1980-Q1";"EW";"AP";"63.18369372"
"1980-Q1";"EW";"TP";
"1980-Q1";"EH";"TP3";
"1980-Q1";"EH";"TP1";
"1980-Q1";"EH";"TP2";
"1980-Q1";"EH";"AP";"65.96933591"
"1980-Q1";"EH";"TP";
"1980-Q1";"MH";"TP1";
"1980-Q1";"MH";"TP2";
"1980-Q1";"MH";"TP";
"1980-Q1";"MW";"AP";"53.1928835"
"1980-Q1";"BF";"AP";"61.69711669"
"1980-Q1";"GF";"AP";"61.32971186"
"1980-Q1";"VF";"AP";
"1980-Q2";"EW";"TP3";
"1980-Q2";"EW";"TP1";
"1980-Q2";"EW";"TP2";
